ANALYSE,ANNEE,SEXE,TRANCHE_AGE,NB_ETUDIANTS,REGION,POPULATION,PCT_OCR,PCT_FRANCE,ECART_PTS
AGE,,TOUS,20-24 ans,190,TOUS,3949118,4.09,7.53,-3.44
AGE,,TOUS,25-29 ans,912,TOUS,3827636,19.63,7.30,12.33
AGE,,TOUS,30-34 ans,1186,TOUS,4097259,25.52,7.81,17.71
AGE,,TOUS,35-39 ans,863,TOUS,4270271,18.57,8.14,10.43
AGE,,TOUS,40-44 ans,609,TOUS,4334986,13.11,8.27,4.84
AGE,,TOUS,45-49 ans,395,TOUS,4220756,8.50,8.05,0.45
AGE,,TOUS,50-54 ans,266,TOUS,4514139,5.72,8.61,-2.88
AGE,,TOUS,55-59 ans,153,TOUS,4435810,3.29,8.46,-5.17
AGE,,TOUS,60 ans ou plus,73,TOUS,18786277,1.57,35.83,-34.26
REGION,,TOUS,TOUS,435,Auvergne-Rhône-Alpes,6280020,9.36,12.04,-2.68
REGION,,TOUS,TOUS,78,Bourgogne-Franche-Comté,2181645,1.68,4.18,-2.50
REGION,,TOUS,TOUS,139,Bretagne,2679977,2.99,5.14,-2.15
REGION,,TOUS,TOUS,122,Centre-Val de Loire,1990766,2.63,3.82,-1.19
REGION,,TOUS,TOUS,46,DROM,1533013,0.99,2.94,-1.95
REGION,,TOUS,TOUS,256,Grand Est,4314267,5.51,8.27,-2.76
REGION,,TOUS,TOUS,300,Hauts-de-France,4501677,6.46,8.63,-2.18
REGION,,TOUS,TOUS,114,Normandie,2571275,2.45,4.93,-2.48
REGION,,TOUS,TOUS,296,Nouvelle-Aquitaine,4869523,6.37,9.34,-2.97
REGION,,TOUS,TOUS,287,Occitanie,4805204,6.18,9.21,-3.04
REGION,,TOUS,TOUS,159,Pays de la Loire,2981551,3.42,5.72,-2.30
REGION,,TOUS,TOUS,295,Provence-Alpes-Côte d'Azur,4088143,6.35,7.84,-1.49
REGION,,TOUS,TOUS,2120,Île-de-France,9354388,45.62,17.94,27.68
SEXE,,F,TOUS,1057,TOUS,27466074,31.08,52.38,-21.30
SEXE,,M,TOUS,2344,TOUS,24970176,68.92,47.62,21.30
YEAR,2022,TOUS,TOUS,1696,TOUS,,,,
YEAR,2023,TOUS,TOUS,1150,TOUS,,,,
YEAR,2024,TOUS,TOUS,850,TOUS,,,,
YEAR,2025,TOUS,TOUS,951,TOUS,,,,
